HGNC symbol	EntrezGene ID
HMGN2	3151
H19	283120
H19	100033819
AMH	268
TRIM26	7726
JSRP1	126306
OAZ1	4946
RPS6KA1	6195
TTTY22	252954
C19orf35	374872
GNB4	59345
FASLG	356
TTTY23	252955
TTTY23	100101121
TNXB	7148
LINGO3	645191
LSM7	51690
SPPL2B	56928
PRRT1	80863
PRRT1	100507547
PSMD14	10213
TNFSF18	8995
TNFSF4	7292
TRIM39	202658
TRIM39	56658
HES2	54626
PRDX6	9588
TMPRSS9	360200
ACTL6A	86
RN18S1	100008588
RN18S1	100861532
CDK15	65061
TIMM13	26517
LINC00469	
PPT2	80864
PPT2	9374
LMNB2	84823
KCNQ1OT1	10984
MRS2P2	729633
KCNQ1DN	55539
ARID1A	8289
TBR1	10716
TTTY15	64595
RPP21	79897
ESPN	83715
FAM172BP	131909
FZD7	8324
HLA-E	3133
FAM41AY1	
SLC4A10	57282
SUMO1	7341
EGFL8	80864
LINC00230B	
GNL1	2794
PIGV	55650
NOP58	51602
TNFRSF25	8718
AGPAT1	10554
ZDHHC18	84243
SFN	2810
GPN2	54707
MORC1-AS1	100506506
LINC00488	677779
GPATCH3	63906
XKRY2	
PRR3	80742
TRPC2	7221
BMPR2	659
LINC00230A	
RNF5	6048
NUDC	10726
FAM41AY2	340618
FAM41AY2	100302526
MRPL47	57129
ABCF1	23
PVRL3-AS1	100506555
FAM117B	150864
NDUFB5	4711
ICA1L	130026
AGER	177
NR0B2	8431
C1orf172	126695
DPP4	1803
TRNP1	388610
FAM46B	115572
SLC9A1	6548
TTTY9B	83864
TTTY9B	425057
TTTY9A	83864
TTTY9A	425057
PLEKHG5	57449
TMEM39A	55254
TTTY14	83869
TTTY14	55410
ZBTB20-AS1	100131117
WDR12	55759
BCORP1	286554
TXLNG2P	246126
PPP1R10	5514
WDTC1	23038
REG1A	5967
DNAJC6	9829
TTTY10	246119
KIAA1033	23325
ZBTB20-AS2	100506673
LSAMP-AS1	100506708
TMEM222	84065
MRPS18B	28973
RBMY2EP	159125
MYH13	8735
PBX2	5089
USP13	8975
LSAMP-AS3	285194
ABCC6P2	730013
MIR3179-3	100422886
MIR3179-3	100422960
MIR3179-3	100423006
MIR3179-2	100422886
MIR3179-2	100422960
MIR3179-2	100423006
MIR3179-1	100422886
MIR3179-1	100422960
MIR3179-1	100423006
MIR3180-3	100422836
MIR3180-3	100422870
MIR3180-3	100422956
MIR3180-2	100422836
MIR3180-2	100422870
MIR3180-2	100422956
MIR3180-1	100422836
MIR3180-1	100422870
MIR3180-1	100422956
ALS2CR8	79800
LEPR	3953
REG3A	5068
ATAT1	79969
RAB19	401409
GCG	2641
MYH8	4626
MKRN1	23608
HBBP1	3044
LEPROT	54741
LSAMP-AS4	100506724
TTTY13	83868
PEX5L	51555
IGSF11-AS1	100506765
POGLUT1	56983
MYH2	4622
MYH2	4620
GPSM3	63940
SYTL1	84958
NOTCH4	4855
TTTY6B	84672
TTTY6B	441543
CTNNA2	1496
PCBP1-AS1	400960
C6orf10	10665
TTTY5	83863
RBMY2FP	159162
FAP	2191
BTNL2	56244
AUP1	550
TTTY6	84672
TTTY6	441543
KCTD21	283219
PDE4B	5142
MAP3K6	9064
HLA-DQA2	3118
USP35	57558
HLA-DQB2	3120
TTTY17A	252949
TTTY17A	474151
TTTY17A	474152
TTTY4	114761
TTTY4	474149
TTTY4	474150
MYH1	4619
HLA-DOB	3112
NBEAL1	65065
NBEAL1	648771
GRAMD1C	54762
C6orf136	221545
SGIP1	84251
NOL9	79707
TAP2	6891
MYLK-AS1	100506826
SNHG9	677844
MYH3	4621
FCN3	8547
STAB2	55576
IFIH1	64135
DHX16	8449
SCO1	6341
CD164L2	388611
C17orf48	56985
TMEM220	388335
ZNF638-IT1	100507113
TAS1R1	80835
PIRT	644139
SHISA6	388336
PSMB8	5696
ALMS1P	200420
TTC14	151613
DNAH9	1770
ZC3HAV1L	92092
OMP	4975
MYO7A	4647
MDC1	9656
MKRN9P	400058
GVINP1	387751
GCA	25801
TCTEX1D1	200132
BOLA3-AS1	100507171
INSL5	10022
PSMB9	5698
WDR78	79819
ZBTB48	3104
GOLGA2P2Y	
TTTY17B	252949
TTTY17B	474151
TTTY17B	474152
TAP1	6890
KCNH7	90134
TTTY4B	114761
TTTY4B	474149
TTTY4B	474150
ZNF18	7566
TTTY4C	114761
TTTY4C	474149
TTTY4C	474150
TTTY17C	252949
TTTY17C	474151
TTTY17C	474152
CCDC39	339829
GOLGA2P3Y	84559
GOLGA2P3Y	401634
MIER1	57708
TUBB	203068
KLHL21	9903
OR5E1P	26343
ZC3HAV1	56829
FIGN	55137
PHF13	148479
GRB14	2888
MAP2K4	6416
TIMMDC1	51300
REG1P	
HLA-DMB	3109
THAP3	90326
BTBD9-AS1	100505567
MYOCD	93649
PKD1P1	
ABCA17P	650655
CSPG4P1Y	114758
FXR1	8087
TTC26	79989
HLA-DMA	3108
TTTY3	114760
TTTY3	474148
DENND2A	27147
ARHGAP44	9912
HLA-DPA1	3113
HTRA2	27429
LRRTM1	347730
HLA-F-AS1	285830
HLA-DPB1	3115
KRT8P41	283102
CLLU1	100507616
CD80	941
